,description,Product Description,ASIN,Manufacturer
0,"[' Laptop Compatibility: Yes, Laptop size: 15.6 inches  ', ' Outer Material: Polyester, Color: Black  ', ' Water Resistance: Water resistant  ', ' Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)  ', ' Warranty type: Manufacturer; 12 months warranty against manufacturing defects  ']","Read moreErgonomically   DesignedThe Laptop Bag by Urban Tribe is a   well structured and ergonomically designed. It is has spacious compartments   as well as an anti-clutter mobile phone charging compartment. The bag is very   handy and provides comfort to the user. Carry it in style.Extra   Charging CompartmentThe bag has a separate mobile   phone charging compartment to give you an anti-clutter experience while you   charge your phone.Spacious   CompartmentThe bag has a spacious main   compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag.Withstand   heavy weightThe bag is made of Polyester,   making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once.Read more",B01LXNNFDF,"Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901"
1,"[' Fit Type: Regular  ', ' Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.  ', ' Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.  ', ' Loaded with Great Features: Anti Theft Lock, Luggage Belt, USB Port Design with built in USB charger outside and built in charging cable inside(Not Include Power Bank). When walking, hiking, traveling, taking a bus, the backpack is convenient for charging smartphones/tablets/other devices.  ', ' Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.  ', ' Strap Type: Adjustable Handle; Style Name: Daypack Backpacks; Special Features: Expandable; Color Name: Black; Compartment Description: Up To 16 Inches; Closure Type: Zipper Snap; Age Range Description: Adult; Pattern Name: Plaid; Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacture Warranty  ']",,B09MFWNY2C,Shaba bags
2,"[' Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No  ', ' Outer Material: Polyester, Color: Black  ', ' Water Resistance: Water resistant , not Waterproof  ', ' Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters  ', ' Number of Wheels: 0, Number of compartments: 3  ', ' Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of  ', ' Mesh pockets on both sides to accommodate your sipper or bottle and umbrella  ', ' Mesh Padding on back & shoulder strap to provide comfort & better back support  ']",,,
3,[],,,
4,"[' Material: Water Resistant Light-Weight Polyester  ', ' Compartments: 2 with padding; Laptop Size: 15.6 inch and below  ', ' Dimensions: LxWxH - 12.5 x 7.5 x 19 inches  ', ' Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders  ', ' Closure Type: Zipper  ']",,,
5,[],,,
6,[],,,
7,[],,,
8,"[' ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.  ', ' WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.  ', ' CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.  ', ' Outer Material Type: Nylon  ']",,,
9,[],,,
